algoritmo,repeticao,semente,valor,iteracoes,pioras_aceitas,talhoes
tempera_simulada,15,114045,14.379601,1976,29,"(0,5) -> (0,10) -> (1,8) -> (4,6) -> (4,7) -> (5,4) -> (5,6) -> (5,10) -> (6,4) -> (7,3) -> (9,3) -> (9,7) -> (9,8) -> (10,5) -> (11,10)"
tempera_simulada,16,114046,13.884371,1976,28,"(0,0) -> (0,9) -> (2,3) -> (2,9) -> (3,6) -> (4,11) -> (5,2) -> (5,10) -> (6,7) -> (7,2) -> (7,7) -> (8,7) -> (8,8) -> (9,2) -> (9,5)"
tempera_simulada,17,114047,14.20706,1976,26,"(0,6) -> (1,2) -> (2,8) -> (2,10) -> (3,1) -> (3,2) -> (3,9) -> (4,1) -> (5,0) -> (5,10) -> (6,8) -> (8,11) -> (9,0) -> (10,0) -> (11,7)"
tempera_simulada,18,114048,14.510844,1976,21,"(0,6) -> (1,1) -> (1,8) -> (2,1) -> (2,9) -> (5,5) -> (5,11) -> (6,0) -> (6,6) -> (6,9) -> (7,8) -> (7,11) -> (8,0) -> (10,5) -> (10,11)"
tempera_simulada,19,114049,14.001903,1976,21,"(0,10) -> (1,4) -> (1,7) -> (2,4) -> (3,5) -> (4,0) -> (4,3) -> (4,4) -> (4,6) -> (4,9) -> (5,2) -> (5,9) -> (8,2) -> (8,7) -> (10,1)"
tempera_simulada,20,114050,14.254962,1976,24,"(0,1) -> (2,0) -> (2,3) -> (2,6) -> (2,11) -> (4,8) -> (5,9) -> (6,8) -> (7,8) -> (7,10) -> (8,4) -> (8,10) -> (9,11) -> (10,5) -> (10,6)"
tempera_simulada,21,114051,14.385747,1976,31,"(1,0) -> (1,1) -> (2,9) -> (3,1) -> (4,0) -> (4,7) -> (4,11) -> (5,3) -> (5,10) -> (7,1) -> (7,5) -> (8,4) -> (9,10) -> (10,7) -> (11,6)"
tempera_simulada,22,114052,13.746747,1976,34,"(2,1) -> (2,2) -> (3,6) -> (3,10) -> (4,1) -> (4,4) -> (6,1) -> (6,3) -> (6,5) -> (6,11) -> (8,4) -> (9,11) -> (10,7) -> (11,0) -> (11,9)"
tempera_simulada,23,114053,14.128099,1976,16,"(0,0) -> (0,10) -> (1,3) -> (1,4) -> (2,4) -> (2,10) -> (3,2) -> (3,5) -> (5,6) -> (5,9) -> (6,0) -> (9,10) -> (10,7) -> (10,8) -> (11,8)"
tempera_simulada,24,114054,13.869498,1976,28,"(0,3) -> (1,7) -> (4,1) -> (5,6) -> (6,1) -> (6,5) -> (7,0) -> (7,10) -> (7,11) -> (9,8) -> (10,5) -> (10,8) -> (10,9) -> (11,2) -> (11,7)"
tempera_simulada,25,114055,14.291918,1976,24,"(1,3) -> (1,6) -> (2,3) -> (2,5) -> (2,9) -> (3,9) -> (4,4) -> (4,8) -> (4,10) -> (4,11) -> (5,9) -> (6,1) -> (9,0) -> (11,0) -> (11,3)"
tempera_simulada,26,114056,14.361407,1976,29,"(1,0) -> (1,2) -> (1,9) -> (3,6) -> (3,9) -> (5,2) -> (6,8) -> (7,1) -> (7,2) -> (7,11) -> (8,1) -> (8,11) -> (11,1) -> (11,2) -> (11,6)"
tempera_simulada,27,114057,14.172303,1976,28,"(0,3) -> (1,3) -> (3,3) -> (3,6) -> (5,9) -> (6,5) -> (6,8) -> (6,9) -> (7,7) -> (7,8) -> (8,11) -> (9,10) -> (10,4) -> (11,3) -> (11,8)"
tempera_simulada,28,114058,14.203711,1976,22,"(0,4) -> (1,4) -> (2,0) -> (3,2) -> (4,6) -> (5,10) -> (6,11) -> (7,0) -> (7,6) -> (8,0) -> (8,5) -> (8,6) -> (9,2) -> (9,7) -> (10,5)"
tempera_simulada,29,114059,13.671629,1976,18,"(0,5) -> (1,4) -> (1,5) -> (1,7) -> (2,2) -> (2,5) -> (3,11) -> (7,5) -> (7,7) -> (8,4) -> (9,10) -> (10,1) -> (11,0) -> (11,1) -> (11,11)"
tempera_simulada,30,114060,14.11539,1976,30,"(0,6) -> (1,2) -> (2,9) -> (3,11) -> (4,0) -> (4,9) -> (4,10) -> (4,11) -> (5,2) -> (5,3) -> (6,0) -> (6,8) -> (10,4) -> (11,7) -> (11,10)"
